,step,vertical_idx,horizontal_idx
0,1,3,3
1,2,0,3
2,7,0,1
3,14,0,2
4,16,0,4
5,16,2,4
6,17,2,2
7,18,1,2
8,21,0,4
9,21,1,3
10,29,0,1
11,31,0,2
12,38,4,3
13,39,0,4
14,42,2,4
15,45,1,4
16,47,2,4
17,53,0,3
18,57,1,4
19,61,3,3
20,62,4,4
21,68,0,0
22,68,0,4
23,77,4,3
24,81,0,2
25,84,1,2
26,90,0,1
27,95,1,1
28,99,3,2
29,100,2,2
30,102,2,3
31,110,1,2
32,121,1,3
33,125,2,3
34,126,4,4
35,127,0,0
36,135,3,4
37,137,4,3
38,138,2,3
39,141,1,3
40,142,4,1
41,143,2,1
42,148,2,3
43,156,0,3
44,159,1,4
45,169,1,3
46,169,4,4
47,171,0,3
48,181,2,3
49,198,3,2
