,step,vertical_idx,horizontal_idx
0,1,0,4
1,1,3,2
2,3,4,1
3,5,1,0
4,16,2,4
5,17,0,2
6,19,1,3
7,27,0,0
8,30,2,2
9,34,2,1
10,36,1,2
11,45,4,4
12,47,3,0
13,49,4,3
14,51,0,1
15,53,0,1
16,56,1,3
17,68,2,4
18,70,0,1
19,70,2,3
20,76,1,4
21,76,3,3
22,77,1,1
23,78,1,2
24,82,0,3
25,88,0,0
26,94,4,2
27,107,3,3
28,109,1,4
29,115,0,4
30,120,1,2
31,124,1,0
32,124,2,2
33,126,1,4
34,127,3,2
35,130,3,4
36,131,2,3
37,131,3,1
38,132,3,2
39,144,1,2
40,145,4,2
41,151,0,4
42,157,4,2
43,163,1,0
44,165,2,4
45,166,4,2
46,174,2,3
47,177,3,2
48,179,4,0
49,181,0,4
50,181,1,3
51,196,3,4
52,200,2,4
