,step,vertical_idx,horizontal_idx
0,2,1,2
1,2,2,3
2,11,4,3
3,24,4,2
4,29,1,3
5,32,4,3
6,33,2,2
7,33,3,3
8,42,4,4
9,47,0,1
10,47,0,2
11,50,2,2
12,51,3,4
13,55,0,4
14,59,2,4
15,65,4,0
16,65,4,4
17,67,0,3
18,70,0,4
19,79,1,4
20,81,4,2
21,83,1,2
22,84,1,4
23,95,2,3
24,98,3,4
25,100,1,2
26,107,0,3
27,108,3,3
28,108,4,0
29,113,4,4
30,115,0,2
31,115,1,4
32,116,4,4
33,129,1,4
34,143,0,4
35,147,4,1
36,152,1,3
37,153,2,2
38,155,3,4
39,167,2,4
40,168,2,3
41,173,2,2
42,174,4,3
43,175,4,4
44,179,0,1
45,179,4,2
46,186,3,4
47,188,4,4
48,191,1,4
49,193,3,3
50,195,0,4
