,step,vertical_idx,horizontal_idx
0,7,3,2
1,10,1,4
2,13,1,1
3,13,2,2
4,13,2,4
5,13,4,4
6,17,3,1
7,24,0,3
8,28,2,4
9,29,0,1
10,32,0,2
11,38,1,2
12,39,3,3
13,39,4,4
14,47,2,3
15,49,1,2
16,49,2,3
17,57,1,3
18,78,4,3
19,79,0,1
20,81,0,3
21,82,2,2
22,88,0,3
23,94,3,3
24,98,0,4
25,98,2,4
26,101,1,3
27,106,1,1
28,108,0,0
29,111,3,3
30,113,0,4
31,117,1,0
32,118,2,3
33,124,3,4
34,132,3,3
35,133,0,3
36,134,1,2
37,137,4,0
38,141,2,2
39,145,1,1
40,146,4,2
41,154,2,3
42,155,0,3
43,158,0,1
44,166,1,1
45,176,2,4
46,181,0,4
47,185,1,3
48,185,3,4
49,186,4,0
50,189,4,3
51,191,0,1
52,192,3,1
53,195,2,2
54,199,1,0
