,step,vertical_idx,horizontal_idx
0,7,3,3
1,16,3,3
2,18,4,4
3,37,4,3
4,41,0,2
5,46,1,0
6,52,3,3
7,61,4,3
8,65,2,4
9,66,3,3
10,67,0,3
11,68,3,2
12,72,1,2
13,72,3,3
14,80,0,3
15,81,4,2
16,85,3,4
17,88,4,4
18,94,2,4
19,105,1,2
20,109,3,2
21,113,1,4
22,122,0,2
23,126,0,4
24,128,1,4
25,129,0,4
26,129,3,4
27,131,0,2
28,136,1,4
29,138,1,2
30,139,1,3
31,139,2,1
32,140,3,3
33,140,4,3
34,146,0,1
35,146,2,2
36,157,2,4
37,163,3,4
38,187,1,2
39,188,2,1
40,192,3,2
41,192,4,3
42,198,4,3
