,step,vertical_idx,horizontal_idx
0,5,2,3
1,19,0,2
2,21,2,1
3,22,1,4
4,22,2,4
5,27,1,1
6,30,4,4
7,32,1,2
8,37,3,4
9,41,0,4
10,41,1,2
11,45,0,3
12,45,1,2
13,45,1,3
14,45,2,2
15,47,3,2
16,52,0,0
17,53,0,3
18,65,0,1
19,66,4,2
20,68,4,2
21,68,4,4
22,78,3,2
23,84,0,3
24,85,3,4
25,87,2,3
26,96,2,4
27,105,4,4
28,114,4,3
29,116,3,4
30,119,3,2
31,119,3,4
32,134,4,2
33,136,1,3
34,139,4,2
35,143,2,2
36,146,2,2
37,149,3,3
38,161,3,3
39,166,4,3
40,172,3,3
41,174,0,3
42,180,2,2
43,183,4,4
44,188,3,0
45,191,0,2
46,196,1,1
