,step,vertical_idx,horizontal_idx
0,1,1,2
1,2,0,3
2,3,3,4
3,11,4,4
4,20,3,3
5,34,1,4
6,42,4,3
7,47,4,0
8,48,1,4
9,48,4,3
10,49,0,4
11,49,1,4
12,50,1,3
13,57,2,3
14,59,1,4
15,61,3,1
16,62,3,3
17,65,2,4
18,67,2,2
19,67,2,4
20,74,4,3
21,75,1,4
22,77,4,2
23,80,0,4
24,87,1,3
25,95,0,2
26,95,0,3
27,101,0,3
28,102,1,4
29,104,2,4
30,111,3,1
31,113,3,4
32,115,1,3
33,121,1,4
34,125,3,2
35,128,3,4
36,131,4,1
37,132,3,4
38,133,3,4
39,133,4,2
40,138,1,2
41,150,3,3
42,164,3,2
43,164,4,2
44,165,1,3
45,172,0,1
46,174,3,1
47,175,0,3
48,182,3,3
49,184,4,3
50,186,4,1
51,188,0,1
52,196,2,2
