,step,vertical_idx,horizontal_idx
0,2,4,3
1,4,4,0
2,7,1,2
3,21,4,1
4,25,2,4
5,33,0,4
6,39,2,2
7,44,1,1
8,49,3,0
9,56,3,2
10,67,0,1
11,67,2,4
12,68,1,2
13,71,0,2
14,77,2,2
15,77,3,2
16,79,0,3
17,82,2,3
18,83,4,3
19,87,0,3
20,88,0,3
21,89,3,3
22,92,2,2
23,95,1,3
24,96,0,2
25,97,0,4
26,102,1,4
27,110,3,1
28,116,0,4
29,120,0,4
30,123,4,3
31,124,2,1
32,125,1,4
33,125,2,3
34,127,2,4
35,137,2,3
36,137,3,4
37,142,1,2
38,144,3,2
39,145,1,1
40,145,2,4
41,145,4,3
42,147,4,2
43,158,0,2
44,160,1,4
45,163,4,3
46,164,2,1
47,165,0,2
48,171,3,1
49,174,2,3
50,175,1,3
51,185,2,1
52,185,3,1
53,186,0,1
54,187,1,1
55,194,1,3
56,199,2,1
