,step,vertical_idx,horizontal_idx
0,11,3,0
1,25,4,4
2,27,0,4
3,30,2,1
4,38,1,4
5,38,3,3
6,42,0,2
7,42,3,3
8,44,3,2
9,47,3,3
10,49,3,3
11,53,2,4
12,59,2,1
13,67,4,4
14,71,3,3
15,79,3,2
16,81,0,3
17,84,4,3
18,85,3,1
19,86,3,3
20,88,1,3
21,94,4,3
22,103,4,1
23,108,1,3
24,116,4,2
25,120,2,4
26,133,4,1
27,134,0,4
28,141,0,2
29,144,3,2
30,145,1,4
31,148,2,4
32,150,4,1
33,152,4,2
34,163,1,4
35,163,2,2
36,172,4,1
37,178,0,1
38,180,0,4
39,186,3,1
40,198,2,1
41,199,0,1
42,200,1,3
