,step,vertical_idx,horizontal_idx
0,8,2,2
1,9,3,2
2,10,4,4
3,11,0,1
4,13,2,2
5,23,1,4
6,33,3,1
7,33,3,4
8,36,3,4
9,40,3,4
10,40,4,4
11,44,3,1
12,45,1,2
13,49,2,4
14,51,4,1
15,52,3,4
16,54,3,4
17,55,2,3
18,62,2,3
19,66,3,4
20,66,4,2
21,73,0,2
22,74,2,1
23,78,1,1
24,83,1,3
25,87,0,4
26,87,2,2
27,89,1,1
28,97,0,1
29,99,0,4
30,101,4,4
31,104,4,4
32,105,2,2
33,105,3,3
34,106,4,3
35,107,2,3
36,112,4,1
37,114,3,0
38,114,4,1
39,116,2,2
40,117,0,3
41,119,4,3
42,128,0,4
43,129,3,3
44,131,0,2
45,131,2,4
46,138,0,1
47,143,0,1
48,151,0,2
49,151,0,4
50,151,1,4
51,153,1,4
52,172,0,2
53,173,4,3
54,187,3,1
55,194,4,4
56,196,1,4
