,step,vertical_idx,horizontal_idx
0,1,2,4
1,20,0,4
2,22,1,3
3,23,3,4
4,28,0,2
5,28,2,3
6,28,3,4
7,35,3,4
8,37,3,3
9,38,2,2
10,43,1,4
11,45,0,3
12,50,1,2
13,53,3,1
14,56,4,4
15,71,2,2
16,81,0,1
17,83,3,2
18,89,4,4
19,93,4,2
20,94,4,1
21,103,1,0
22,108,2,4
23,114,2,4
24,123,4,1
25,137,3,4
26,139,0,0
27,139,3,1
28,140,1,4
29,141,1,4
30,143,1,4
31,147,4,2
32,153,3,3
33,163,3,3
34,164,0,4
35,165,4,1
36,166,2,1
37,174,2,4
38,174,4,4
39,175,3,3
40,175,4,1
41,178,0,4
42,189,2,3
43,196,1,0
