,step,vertical_idx,horizontal_idx
0,2,0,1
1,2,2,2
2,6,2,4
3,11,1,4
4,11,4,2
5,15,3,4
6,17,1,4
7,17,4,2
8,27,2,4
9,28,3,3
10,53,3,2
11,54,4,1
12,55,0,2
13,60,1,2
14,60,4,1
15,67,1,2
16,68,4,3
17,71,4,3
18,75,1,2
19,76,3,4
20,84,1,4
21,93,0,1
22,93,2,2
23,95,1,3
24,95,2,4
25,99,0,2
26,100,3,2
27,101,0,3
28,103,1,2
29,103,3,3
30,104,2,4
31,127,0,1
32,133,1,1
33,137,0,3
34,137,3,3
35,142,4,3
36,144,3,4
37,147,0,3
38,150,4,3
39,154,2,1
40,154,2,4
41,157,4,1
42,159,4,4
43,161,4,4
44,169,0,0
45,171,3,2
46,173,0,3
47,173,0,4
48,173,3,3
49,176,4,3
50,180,3,3
51,181,0,3
52,188,4,4
53,189,0,4
54,190,0,1
55,192,3,3
56,198,3,4
