,step,vertical_idx,horizontal_idx
0,1,3,2
1,1,4,4
2,4,0,0
3,8,1,4
4,11,4,4
5,14,2,4
6,19,0,3
7,19,3,0
8,20,3,2
9,22,2,4
10,25,3,2
11,26,3,3
12,26,4,4
13,44,3,2
14,48,1,2
15,58,2,2
16,62,4,2
17,62,4,4
18,65,1,4
19,75,3,1
20,87,2,3
21,89,2,2
22,95,1,2
23,102,4,3
24,107,1,2
25,109,3,3
26,115,2,4
27,116,4,4
28,118,3,1
29,124,0,1
30,129,1,0
31,136,0,2
32,139,0,4
33,145,4,3
34,151,0,3
35,156,2,2
36,160,3,2
37,163,2,4
38,169,0,3
39,170,3,0
40,172,4,3
41,173,2,3
42,174,0,4
43,176,1,0
44,176,3,4
45,183,0,1
46,183,3,1
47,184,1,2
48,189,2,4
49,195,1,3
50,197,4,4
51,198,3,3
