,step,vertical_idx,horizontal_idx
0,1,2,4
1,2,3,4
2,4,4,4
3,5,4,0
4,7,4,4
5,10,4,4
6,13,3,1
7,17,0,2
8,19,0,2
9,24,0,2
10,34,0,1
11,42,1,4
12,42,3,3
13,44,1,2
14,47,4,2
15,50,3,4
16,54,1,1
17,57,4,1
18,65,0,4
19,67,1,1
20,72,1,3
21,75,1,3
22,76,0,3
23,79,4,4
24,80,3,4
25,87,1,4
26,103,3,4
27,105,1,0
28,108,0,1
29,108,2,1
30,112,0,4
31,117,0,4
32,117,1,4
33,122,2,3
34,126,3,4
35,132,0,4
36,132,2,2
37,138,3,3
38,143,1,2
39,149,1,2
40,149,4,4
41,150,2,3
42,153,0,4
43,158,2,3
44,164,0,4
45,166,1,4
46,173,2,2
47,176,4,3
48,178,0,1
49,180,2,2
50,185,3,3
51,187,0,4
52,188,0,1
53,190,1,4
54,193,2,2
55,196,4,4
56,197,0,4
57,197,2,3
58,198,1,3
59,199,2,4
