,step,vertical_idx,horizontal_idx
0,4,0,4
1,10,0,4
2,16,2,2
3,18,0,0
4,18,4,1
5,20,4,1
6,28,2,2
7,29,3,4
8,32,1,4
9,34,2,4
10,35,0,3
11,35,1,4
12,48,2,2
13,50,0,4
14,56,0,4
15,59,2,4
16,62,0,4
17,63,0,0
18,64,4,3
19,65,2,4
20,69,3,4
21,77,2,4
22,78,3,4
23,79,0,2
24,80,0,1
25,81,3,4
26,87,4,2
27,92,1,4
28,97,1,4
29,100,0,1
30,101,0,3
31,102,4,2
32,110,4,3
33,114,1,2
34,124,3,3
35,128,3,4
36,139,2,1
37,144,3,2
38,149,1,2
39,152,2,3
40,152,4,2
41,158,0,2
42,162,1,3
43,165,0,1
44,165,1,1
45,169,4,1
46,184,0,4
47,192,3,2
48,196,3,3
49,199,4,3
