,step,vertical_idx,horizontal_idx
0,4,0,3
1,5,4,4
2,6,3,4
3,15,2,4
4,18,3,4
5,21,1,3
6,22,0,4
7,28,1,3
8,38,3,4
9,39,0,2
10,39,3,2
11,39,3,4
12,44,0,4
13,44,3,4
14,52,3,3
15,57,3,2
16,65,1,4
17,66,1,2
18,74,1,3
19,75,0,3
20,80,4,3
21,81,1,3
22,86,3,4
23,87,1,3
24,92,3,1
25,102,1,4
26,110,4,1
27,111,2,4
28,121,1,0
29,125,2,3
30,135,2,1
31,135,3,0
32,142,0,1
33,143,2,3
34,147,3,0
35,147,3,3
36,150,1,1
37,154,2,4
38,157,0,2
39,171,4,3
40,178,1,4
41,178,4,4
42,179,0,3
43,184,4,4
44,187,2,4
45,188,3,4
