,step,vertical_idx,horizontal_idx
0,3,2,2
1,7,4,3
2,11,1,2
3,13,1,4
4,15,0,4
5,16,4,2
6,20,0,1
7,20,0,4
8,31,3,1
9,53,4,3
10,56,0,3
11,65,1,4
12,68,2,4
13,75,0,1
14,78,4,3
15,85,1,0
16,90,0,0
17,93,3,2
18,109,1,3
19,109,4,1
20,109,4,3
21,113,1,0
22,123,1,1
23,125,0,3
24,128,2,4
25,134,3,2
26,135,0,3
27,144,0,2
28,146,0,2
29,149,0,3
30,156,4,1
31,162,3,4
32,168,2,1
33,169,4,1
34,176,3,0
35,180,3,4
36,180,4,2
37,181,3,3
38,185,2,4
39,186,3,3
40,187,4,3
41,188,1,2
42,189,1,4
