,step,vertical_idx,horizontal_idx
0,6,3,1
1,13,0,4
2,14,1,2
3,15,3,4
4,21,3,2
5,23,0,3
6,35,1,2
7,35,1,4
8,44,2,2
9,47,4,2
10,54,3,1
11,56,2,4
12,57,0,0
13,64,0,2
14,66,0,2
15,69,2,3
16,78,1,2
17,92,3,1
18,95,3,4
19,108,1,2
20,110,2,4
21,111,2,2
22,116,0,4
23,116,4,2
24,121,3,2
25,125,4,4
26,132,1,1
27,132,2,2
28,137,4,1
29,139,0,1
30,142,1,4
31,150,3,3
32,158,1,2
33,159,4,1
34,161,0,4
35,162,1,1
36,165,3,1
37,167,0,4
38,168,2,3
39,174,2,2
40,181,4,3
41,184,4,1
42,186,2,1
43,187,4,2
44,193,3,1
45,194,4,2
