,step,vertical_idx,horizontal_idx
0,3,1,4
1,10,4,2
2,16,4,1
3,18,3,4
4,19,4,1
5,19,4,3
6,26,2,2
7,26,3,4
8,27,1,4
9,30,3,3
10,31,0,4
11,33,3,3
12,39,0,4
13,41,3,1
14,42,0,3
15,45,0,4
16,46,3,3
17,48,2,4
18,50,2,1
19,50,3,4
20,51,1,3
21,61,3,2
22,67,3,1
23,68,1,2
24,68,2,2
25,75,4,2
26,76,1,4
27,76,3,4
28,83,1,2
29,84,1,3
30,92,0,4
31,92,1,0
32,98,0,4
33,98,1,4
34,99,4,4
35,101,0,4
36,103,3,2
37,104,1,3
38,104,4,4
39,105,1,1
40,109,3,1
41,111,3,1
42,113,3,4
43,118,1,1
44,118,3,4
45,121,1,2
46,122,3,0
47,122,4,1
48,124,4,3
49,125,1,3
50,127,2,1
51,128,2,3
52,132,4,2
53,133,0,3
54,135,4,3
55,144,2,4
56,147,1,0
57,151,0,3
58,155,2,2
59,158,0,1
60,159,4,2
61,165,0,4
62,167,0,3
63,171,1,0
64,171,1,4
65,173,1,3
66,178,4,2
67,187,1,4
68,190,2,1
69,192,4,0
70,195,3,1
71,197,2,2
72,198,0,4
