,step,vertical_idx,horizontal_idx
0,5,2,2
1,6,2,4
2,8,2,4
3,17,0,2
4,19,2,3
5,21,2,1
6,22,0,3
7,33,2,3
8,36,0,2
9,40,3,2
10,57,1,3
11,57,2,4
12,64,3,0
13,66,0,4
14,66,2,2
15,67,0,2
16,67,4,4
17,70,0,4
18,84,3,4
19,85,1,4
20,90,1,2
21,91,4,3
22,95,0,2
23,104,2,4
24,105,2,4
25,112,3,2
26,113,1,2
27,115,4,3
28,119,0,4
29,119,4,4
30,129,0,3
31,132,3,2
32,135,3,2
33,138,4,2
34,139,1,3
35,143,3,4
36,146,0,3
37,160,0,4
38,161,0,1
39,162,2,3
40,163,3,2
41,169,1,2
42,174,1,2
43,186,3,4
44,190,3,2
45,191,2,3
46,192,2,4
47,195,4,3
48,196,1,2
49,197,4,4
50,199,3,2
