,step,vertical_idx,horizontal_idx
0,1,2,4
1,6,3,4
2,6,4,2
3,8,2,3
4,12,4,0
5,41,4,2
6,47,0,1
7,47,3,1
8,50,4,2
9,57,4,4
10,58,0,2
11,63,3,2
12,79,4,3
13,86,0,4
14,87,2,2
15,105,0,3
16,108,1,3
17,110,1,0
18,116,0,4
19,126,3,3
20,126,4,4
21,127,1,2
22,131,3,3
23,144,4,1
24,148,0,4
25,150,4,3
26,152,4,2
27,162,4,0
28,166,0,0
29,168,3,4
30,172,4,4
31,175,3,0
32,180,1,1
33,180,3,3
34,183,1,2
35,192,0,3
36,193,1,2
37,195,4,3
38,196,3,0
39,197,0,3
40,198,1,4
41,199,0,4
