,step,vertical_idx,horizontal_idx
0,2,0,4
1,3,4,4
2,10,1,3
3,17,1,0
4,26,3,3
5,27,0,3
6,28,4,2
7,33,0,3
8,51,0,4
9,62,0,1
10,64,0,1
11,67,0,4
12,68,0,4
13,72,2,2
14,72,4,4
15,73,1,1
16,76,1,1
17,88,4,3
18,103,2,2
19,109,0,4
20,112,2,3
21,113,0,0
22,113,3,4
23,120,1,3
24,123,0,2
25,125,1,3
26,128,2,3
27,128,3,4
28,132,2,3
29,140,3,3
30,142,0,1
31,142,1,3
32,142,4,2
33,144,0,4
34,147,4,2
35,149,1,3
36,151,3,0
37,158,1,2
38,158,1,4
39,159,1,4
40,161,2,4
41,163,0,4
42,168,1,1
43,169,3,1
44,171,3,0
45,177,0,4
46,188,4,2
47,190,2,1
48,191,2,2
