,step,vertical_idx,horizontal_idx
0,9,1,4
1,13,1,4
2,18,3,3
3,18,4,0
4,19,1,0
5,20,4,3
6,26,1,2
7,32,0,3
8,34,1,2
9,37,2,4
10,44,2,2
11,55,3,3
12,59,0,1
13,62,1,4
14,73,4,2
15,74,3,2
16,76,4,3
17,79,4,1
18,83,2,2
19,84,0,3
20,86,2,4
21,91,4,4
22,93,2,3
23,93,4,4
24,101,2,3
25,110,0,3
26,113,2,4
27,125,0,4
28,126,3,2
29,133,0,4
30,134,4,3
31,138,0,4
32,141,2,2
33,144,2,4
34,147,3,4
35,152,4,3
36,155,0,2
37,155,2,4
38,159,1,3
39,162,0,3
40,162,1,2
41,162,4,3
42,172,2,4
43,172,4,0
44,175,1,3
45,193,1,3
46,196,0,3
47,197,0,4
48,199,3,3
