,step,vertical_idx,horizontal_idx
0,1,1,3
1,8,1,3
2,8,1,4
3,9,0,2
4,15,0,1
5,15,1,2
6,21,1,4
7,32,0,3
8,34,3,2
9,56,0,4
10,56,3,3
11,57,0,4
12,59,1,1
13,64,3,0
14,67,0,1
15,75,3,3
16,80,4,4
17,81,2,4
18,82,3,1
19,83,4,1
20,88,2,2
21,91,0,2
22,99,1,4
23,103,1,1
24,107,1,2
25,107,3,3
26,107,4,2
27,110,4,3
28,111,3,3
29,114,2,1
30,121,2,2
31,121,2,3
32,124,0,3
33,128,0,1
34,162,3,3
35,166,4,4
36,170,1,4
37,185,1,3
38,185,3,4
39,186,0,4
40,187,3,4
41,190,3,2
