,step,vertical_idx,horizontal_idx
0,2,3,2
1,15,2,2
2,18,0,4
3,18,2,4
4,20,4,4
5,22,4,4
6,26,0,4
7,26,4,1
8,33,0,4
9,35,3,4
10,36,4,1
11,43,1,2
12,59,2,2
13,59,3,0
14,65,2,2
15,68,3,4
16,76,0,4
17,80,0,4
18,86,0,3
19,98,2,4
20,102,3,4
21,104,2,4
22,117,2,4
23,119,3,1
24,126,4,2
25,133,2,4
26,137,4,4
27,139,4,4
28,142,1,2
29,151,1,2
30,153,1,4
31,157,4,4
32,170,2,4
33,177,3,1
34,179,0,4
35,180,4,4
36,184,3,1
37,189,3,4
38,190,2,4
39,191,3,1
40,196,2,4
41,199,4,4
