,step,vertical_idx,horizontal_idx
0,2,0,0
1,7,3,2
2,9,2,4
3,11,1,0
4,20,2,2
5,21,0,4
6,23,0,4
7,27,3,2
8,40,1,4
9,42,0,3
10,43,4,2
11,54,2,2
12,55,4,4
13,62,0,3
14,66,0,3
15,66,4,1
16,81,4,2
17,92,4,4
18,95,4,0
19,97,0,4
20,103,4,2
21,106,1,2
22,106,3,4
23,109,1,2
24,116,0,3
25,116,3,2
26,122,2,2
27,122,3,0
28,130,1,2
29,140,4,1
30,145,0,4
31,154,2,4
32,157,3,2
33,169,4,2
34,175,0,3
35,181,3,4
36,182,4,4
37,185,4,0
38,187,2,4
39,195,3,2
40,196,4,2
41,200,3,4
