,step,vertical_idx,horizontal_idx
0,3,2,4
1,6,0,3
2,10,4,2
3,11,0,4
4,31,0,3
5,40,1,4
6,44,1,2
7,46,4,4
8,48,0,3
9,60,2,2
10,60,3,4
11,64,1,2
12,67,2,2
13,81,1,2
14,90,4,0
15,92,0,2
16,95,4,2
17,97,0,3
18,99,2,2
19,101,2,4
20,105,1,2
21,106,3,4
22,112,3,1
23,114,0,2
24,122,3,4
25,132,1,4
26,132,2,2
27,140,1,2
28,140,4,4
29,145,3,2
30,146,3,4
31,153,1,4
32,153,3,2
33,154,2,4
34,157,1,2
35,158,4,4
36,161,4,1
37,162,3,2
38,163,1,4
39,172,4,2
40,176,1,4
41,179,3,1
42,197,1,0
