,step,vertical_idx,horizontal_idx
0,2,0,4
1,9,2,1
2,10,0,1
3,14,0,2
4,18,4,4
5,28,4,4
6,31,0,3
7,33,0,4
8,35,3,2
9,36,0,4
10,45,2,3
11,48,1,2
12,49,3,4
13,53,0,3
14,58,1,3
15,58,1,4
16,67,4,1
17,69,0,2
18,70,2,3
19,76,2,4
20,87,3,3
21,87,4,4
22,99,3,3
23,100,1,2
24,102,1,4
25,105,1,2
26,106,0,4
27,107,0,4
28,115,0,2
29,115,3,4
30,121,1,4
31,121,3,3
32,121,3,4
33,123,2,4
34,127,3,4
35,127,4,4
36,132,1,4
37,145,2,2
38,146,1,2
39,160,4,4
40,168,4,4
41,186,1,4
42,193,1,4
43,195,4,2
44,197,2,4
