,step,vertical_idx,horizontal_idx
0,1,0,4
1,12,3,3
2,12,3,4
3,18,2,3
4,27,2,3
5,28,2,1
6,33,0,4
7,37,0,3
8,57,1,1
9,59,1,3
10,62,3,4
11,65,2,3
12,70,0,4
13,75,4,0
14,77,1,0
15,79,1,3
16,80,1,1
17,81,2,4
18,85,3,2
19,87,2,4
20,87,4,2
21,102,1,3
22,107,4,3
23,109,1,4
24,109,4,2
25,111,4,0
26,112,1,2
27,115,3,2
28,116,3,3
29,118,4,3
30,125,0,4
31,126,0,2
32,128,4,3
33,129,2,2
34,129,4,3
35,131,4,2
36,143,0,1
37,148,3,1
38,150,4,4
39,151,0,1
40,158,1,1
41,162,1,1
42,164,2,4
43,167,2,3
44,177,1,4
45,178,2,2
46,184,3,2
47,189,3,3
