,step,vertical_idx,horizontal_idx
0,1,3,3
1,26,0,3
2,29,4,4
3,32,4,3
4,36,1,3
5,39,2,3
6,43,2,3
7,48,3,4
8,56,0,4
9,59,3,3
10,61,3,4
11,62,3,2
12,65,2,2
13,68,1,4
14,70,4,3
15,71,3,4
16,77,1,2
17,82,0,1
18,85,4,4
19,89,1,3
20,95,3,3
21,98,1,2
22,100,0,3
23,103,1,4
24,104,2,3
25,109,2,4
26,112,0,4
27,118,2,2
28,123,0,2
29,125,1,4
30,130,2,4
31,133,0,0
32,137,1,3
33,146,2,4
34,147,0,4
35,147,3,1
36,148,2,4
37,154,1,1
38,159,0,0
39,161,4,0
40,168,4,3
41,171,1,4
42,175,3,3
43,175,4,0
44,177,3,1
45,177,4,3
46,180,2,1
47,183,2,2
48,196,2,4
