,step,vertical_idx,horizontal_idx
0,4,0,3
1,4,3,4
2,7,0,3
3,13,2,3
4,21,3,2
5,21,4,2
6,22,2,3
7,22,3,3
8,32,2,4
9,33,3,2
10,33,4,3
11,41,1,1
12,56,2,1
13,61,4,4
14,68,4,4
15,73,3,0
16,76,1,1
17,81,2,1
18,86,1,3
19,90,0,0
20,92,4,4
21,94,0,3
22,94,4,1
23,97,2,3
24,98,1,3
25,100,1,4
26,104,1,2
27,104,1,3
28,104,4,1
29,110,3,0
30,116,0,4
31,116,2,1
32,117,1,4
33,119,0,3
34,128,2,4
35,131,3,1
36,143,1,4
37,144,4,2
38,145,2,4
39,147,4,2
40,152,4,3
41,155,0,3
42,159,4,0
43,167,3,0
44,173,3,2
45,173,4,3
46,176,2,3
47,188,3,4
48,190,0,1
49,190,3,2
50,190,3,3
