,step,vertical_idx,horizontal_idx
0,6,2,4
1,7,1,1
2,8,1,4
3,10,1,4
4,11,2,3
5,16,1,3
6,20,1,2
7,32,2,4
8,35,4,3
9,39,1,0
10,41,4,1
11,42,1,3
12,50,3,4
13,70,3,3
14,70,3,4
15,72,2,2
16,74,3,3
17,78,0,4
18,82,0,4
19,83,4,1
20,85,3,4
21,95,1,1
22,98,1,4
23,102,4,3
24,105,1,2
25,107,1,0
26,108,2,3
27,122,4,1
28,127,0,1
29,146,3,4
30,149,4,3
31,153,0,2
32,155,0,3
33,159,3,3
34,161,2,2
35,164,0,1
36,166,3,3
37,168,0,4
38,170,1,4
39,173,2,3
40,176,4,2
41,185,3,4
42,190,3,3
43,194,4,4
44,200,0,2
45,200,0,3
