,step,vertical_idx,horizontal_idx
0,1,3,3
1,2,2,4
2,3,2,1
3,9,1,4
4,19,0,4
5,21,4,4
6,26,0,2
7,30,1,4
8,34,3,0
9,35,1,1
10,38,3,2
11,39,2,4
12,43,3,2
13,44,2,4
14,46,2,2
15,59,4,2
16,59,4,4
17,75,1,0
18,77,4,4
19,78,2,2
20,79,0,2
21,84,0,4
22,86,3,0
23,87,3,4
24,88,3,0
25,91,0,4
26,92,3,3
27,96,1,3
28,106,2,3
29,110,2,3
30,111,0,2
31,115,1,2
32,117,0,4
33,117,3,3
34,126,0,4
35,129,2,2
36,129,2,3
37,131,4,1
38,135,2,4
39,139,1,2
40,140,1,4
41,144,1,3
42,152,1,0
43,154,0,1
44,155,2,4
45,160,4,3
46,163,0,3
47,164,1,3
48,171,3,1
49,173,3,2
50,176,4,2
51,189,1,2
52,200,0,3
