,step,vertical_idx,horizontal_idx
0,2,1,0
1,18,0,2
2,34,2,4
3,37,1,2
4,49,2,3
5,49,3,4
6,54,0,3
7,58,2,4
8,62,2,4
9,64,2,3
10,65,3,1
11,66,0,4
12,75,2,1
13,76,0,4
14,79,3,2
15,79,4,4
16,81,3,3
17,82,3,4
18,84,2,3
19,90,1,3
20,93,0,1
21,96,2,3
22,97,4,2
23,107,0,1
24,112,3,2
25,122,1,3
26,125,0,2
27,128,3,2
28,130,2,4
29,132,3,1
30,134,2,4
31,136,4,3
32,140,3,2
33,141,3,1
34,142,1,1
35,142,2,4
36,147,2,3
37,148,2,3
38,162,0,2
39,162,1,3
40,170,1,3
41,172,2,3
42,175,1,4
43,179,4,4
44,184,3,3
45,186,4,3
46,192,1,1
47,192,1,3
