,step,vertical_idx,horizontal_idx
0,2,2,3
1,13,4,3
2,14,2,3
3,17,0,3
4,20,2,4
5,21,4,2
6,22,1,2
7,22,2,2
8,24,4,2
9,28,3,4
10,40,1,4
11,40,2,1
12,42,0,4
13,45,0,3
14,47,1,1
15,54,4,3
16,55,3,1
17,58,2,1
18,62,1,4
19,62,3,4
20,66,2,1
21,67,4,3
22,68,1,1
23,78,0,4
24,83,4,3
25,85,0,4
26,101,1,2
27,101,2,3
28,106,4,3
29,107,1,2
30,109,2,1
31,111,1,0
32,113,3,0
33,114,2,4
34,117,2,4
35,117,4,4
36,118,0,3
37,119,3,3
38,123,4,2
39,123,4,3
40,131,3,3
41,132,2,4
42,134,0,1
43,138,4,4
44,143,4,2
45,151,0,2
46,153,1,0
47,156,1,3
48,181,2,4
49,191,4,4
50,192,1,0
51,198,4,4
52,200,3,3
