,step,vertical_idx,horizontal_idx
0,5,3,3
1,6,1,3
2,8,4,4
3,23,3,3
4,23,3,4
5,30,2,4
6,30,3,4
7,32,1,1
8,32,2,4
9,41,4,2
10,44,1,0
11,48,2,4
12,50,1,2
13,55,1,1
14,55,3,4
15,62,0,1
16,66,4,4
17,71,0,2
18,72,2,3
19,83,1,2
20,83,2,4
21,83,3,2
22,89,0,4
23,91,0,4
24,101,0,0
25,105,4,3
26,118,1,1
27,118,2,3
28,119,1,4
29,122,2,2
30,128,0,1
31,132,1,3
32,138,4,1
33,139,3,4
34,143,0,4
35,148,0,4
36,153,3,3
37,154,0,1
38,155,2,2
39,160,1,2
40,164,4,1
41,174,4,4
42,186,3,4
43,187,4,0
44,200,3,4
