,step,vertical_idx,horizontal_idx
0,2,0,4
1,3,1,3
2,3,3,3
3,5,1,2
4,7,3,4
5,12,3,4
6,13,1,3
7,20,1,1
8,28,1,3
9,32,0,1
10,34,1,4
11,39,1,1
12,39,3,3
13,41,2,4
14,49,3,3
15,53,1,3
16,55,1,3
17,57,1,1
18,58,1,4
19,64,1,4
20,66,0,1
21,73,1,3
22,74,3,1
23,75,2,4
24,78,1,3
25,79,1,3
26,81,1,1
27,81,2,3
28,85,4,0
29,89,0,4
30,92,1,4
31,98,1,0
32,98,4,3
33,101,4,4
34,104,2,1
35,105,4,0
36,106,0,2
37,112,4,3
38,113,2,4
39,114,0,4
40,114,2,2
41,119,1,1
42,120,2,2
43,123,1,2
44,127,3,2
45,132,2,1
46,140,1,3
47,142,0,3
48,143,1,4
49,144,4,4
50,155,4,3
51,165,4,4
52,166,0,3
53,168,4,4
54,173,2,4
55,175,3,2
56,176,0,0
57,178,4,3
58,178,4,4
59,189,4,1
60,199,3,3
