,step,vertical_idx,horizontal_idx
0,4,2,4
1,6,3,4
2,15,0,1
3,20,1,3
4,24,0,1
5,40,3,0
6,47,1,4
7,48,3,4
8,53,2,4
9,56,3,4
10,57,0,3
11,58,0,1
12,92,3,1
13,94,0,4
14,94,4,4
15,99,3,2
16,102,4,4
17,105,4,2
18,112,3,3
19,113,1,3
20,113,3,4
21,114,2,4
22,115,0,2
23,120,2,3
24,124,3,0
25,124,4,1
26,128,3,3
27,136,0,3
28,137,4,4
29,144,0,3
30,145,1,2
31,145,3,2
32,146,4,2
33,152,1,4
34,153,2,2
35,156,4,0
36,157,1,4
37,161,2,2
38,162,1,4
39,163,0,3
40,170,1,1
41,170,2,3
42,177,2,1
43,179,4,4
44,182,3,3
45,187,1,2
46,189,1,1
47,192,4,3
48,196,4,4
