,step,vertical_idx,horizontal_idx
0,2,4,3
1,5,3,4
2,7,3,2
3,11,4,4
4,19,3,2
5,23,0,4
6,25,0,2
7,25,4,3
8,26,4,2
9,28,3,2
10,35,0,3
11,37,2,4
12,37,3,2
13,43,0,2
14,45,3,2
15,52,3,3
16,53,4,3
17,54,4,3
18,55,0,3
19,55,3,1
20,56,4,2
21,58,0,0
22,62,0,3
23,64,0,3
24,70,3,3
25,72,0,3
26,72,1,3
27,73,4,2
28,79,3,4
29,83,1,2
30,84,0,2
31,85,2,2
32,88,3,3
33,91,1,4
34,94,0,4
35,95,1,2
36,97,0,3
37,97,3,3
38,99,2,2
39,99,4,4
40,103,4,4
41,105,1,4
42,107,4,4
43,112,2,3
44,120,0,3
45,121,4,3
46,128,4,3
47,138,0,3
48,139,3,2
49,139,4,3
50,140,4,0
51,142,0,3
52,144,2,4
53,145,0,0
54,145,2,3
55,149,2,4
56,154,2,2
57,161,0,4
58,166,3,0
59,169,2,2
60,171,0,1
61,172,4,3
62,175,4,3
63,176,4,4
