,step,vertical_idx,horizontal_idx
0,2,4,2
1,4,1,3
2,6,1,4
3,6,2,3
4,15,4,4
5,17,3,4
6,17,4,4
7,19,2,4
8,21,0,0
9,32,4,3
10,34,3,1
11,35,4,3
12,52,3,3
13,52,3,4
14,53,4,4
15,55,3,0
16,63,3,4
17,66,2,3
18,68,2,1
19,71,1,1
20,83,1,3
21,100,3,3
22,101,4,2
23,117,2,2
24,120,2,1
25,120,4,1
26,125,0,4
27,129,4,4
28,130,0,2
29,132,0,2
30,133,4,3
31,136,0,3
32,140,3,4
33,149,2,1
34,153,1,3
35,155,1,4
36,157,2,1
37,157,4,2
38,159,4,1
39,167,0,1
40,172,2,2
41,183,4,2
42,185,0,3
43,191,2,3
44,194,3,3
45,200,1,1
