,step,vertical_idx,horizontal_idx
0,1,3,4
1,9,3,4
2,10,3,2
3,10,3,4
4,10,4,0
5,20,3,2
6,21,1,0
7,24,1,3
8,24,2,2
9,25,0,3
10,28,1,3
11,32,2,2
12,39,3,4
13,43,3,3
14,52,4,4
15,53,4,2
16,57,4,2
17,66,2,4
18,67,4,4
19,71,0,4
20,74,3,1
21,78,1,2
22,93,0,4
23,102,1,4
24,102,3,3
25,116,3,2
26,118,4,3
27,124,1,0
28,130,2,3
29,148,4,3
30,150,0,2
31,150,2,3
32,153,2,1
33,154,1,1
34,156,0,2
35,161,2,1
36,165,1,0
37,170,1,4
38,175,0,3
39,176,4,2
40,178,3,2
41,180,0,2
42,180,3,0
43,182,4,1
44,183,4,4
45,185,4,2
46,187,0,0
47,192,0,2
48,194,2,4
49,196,4,4
50,197,1,2
51,200,1,2
52,200,2,3
