,step,vertical_idx,horizontal_idx
0,4,0,2
1,5,2,4
2,8,4,4
3,18,4,4
4,20,3,3
5,24,1,3
6,26,4,4
7,34,4,3
8,35,1,3
9,37,2,4
10,40,4,1
11,43,4,1
12,46,4,1
13,52,4,3
14,55,4,0
15,57,0,1
16,59,4,2
17,62,2,4
18,72,1,2
19,80,4,3
20,85,2,2
21,90,2,4
22,93,3,4
23,99,3,3
24,101,1,4
25,105,0,2
26,107,1,3
27,108,3,4
28,113,4,4
29,116,3,1
30,122,4,3
31,128,0,2
32,129,0,0
33,129,4,3
34,139,0,3
35,144,4,4
36,148,2,3
37,151,3,4
38,156,4,4
39,159,4,4
40,160,0,3
41,163,1,4
42,187,0,4
43,190,2,3
