,step,vertical_idx,horizontal_idx
0,5,4,3
1,12,4,3
2,14,2,1
3,14,2,2
4,18,1,1
5,20,1,4
6,24,2,4
7,25,4,2
8,33,1,4
9,40,2,3
10,40,4,4
11,42,1,3
12,44,2,4
13,48,1,1
14,52,0,4
15,54,2,4
16,57,2,3
17,58,2,1
18,58,4,1
19,61,0,3
20,68,1,3
21,69,2,1
22,73,3,1
23,89,1,4
24,90,4,2
25,92,2,1
26,97,1,2
27,100,1,2
28,104,4,1
29,105,1,2
30,105,1,3
31,112,3,3
32,115,2,4
33,116,1,4
34,128,0,2
35,129,3,3
36,139,0,2
37,151,1,4
38,151,4,3
39,153,1,4
40,155,2,3
41,156,3,2
42,158,3,4
43,159,0,2
44,160,0,4
45,175,2,3
46,176,3,1
47,183,3,0
48,193,3,0
49,193,4,2
50,196,0,4
