,step,vertical_idx,horizontal_idx
0,1,2,1
1,2,1,4
2,2,3,3
3,5,1,1
4,10,4,2
5,16,4,2
6,18,3,4
7,20,2,4
8,25,2,3
9,26,1,4
10,28,2,4
11,33,2,3
12,33,3,0
13,36,4,4
14,43,1,1
15,48,1,4
16,54,3,2
17,55,2,3
18,68,1,1
19,70,4,4
20,72,2,3
21,77,2,4
22,82,3,4
23,85,4,4
24,88,1,1
25,103,4,4
26,104,2,1
27,113,0,2
28,119,1,3
29,121,1,4
30,122,2,3
31,128,0,2
32,129,1,2
33,133,1,3
34,133,2,2
35,141,1,2
36,145,2,4
37,152,3,3
38,155,3,3
39,159,2,3
40,167,2,1
41,168,4,3
42,176,4,3
43,177,4,3
44,186,4,2
45,189,1,1
46,192,1,4
47,197,3,3
48,198,0,2
49,198,3,1
50,200,2,2
